天海 春香,中村 繪里子,e22b30,4/3,あまみ はるか,なかむら えりこ,Haruka Amami,Princess,17,158,46,O,右,83,56,82,牡羊座,神奈川県,カラオケ、長電話,お菓子作り,歌うこと
如月 千早,今井 麻美,2743d2,2/25,きさらぎ ちはや,いまい あさみ,Chihaya Kisaragi,Fairy,16,162,41,A,右,72,55,78,魚座,東京都,音楽鑑賞、写真,歌,トレーニング
星井 美希,長谷川 明子,b4e04b,11/23,ほしい みき,はせがわ あきこ,Miki Hoshii,Angel,15,161,45,B,右,86,55,83,射手座,神奈川県,友達とおしゃべり、ネイルアート,寝ること,おにぎり、いちごババロア
萩原 雪歩,浅倉 杏美,d3dde9,12/24,はぎわら ゆきほ,あさくら あずみ,Yukiho Hagiwara,Princess,17,155,42,A,右,81,56,81,山羊座,東京都,MY詩集を書くこと,日本茶を入れること,ブログ
高槻 やよい,仁後 真耶子,f39939,3/25,たかつき やよい,にご まやこ,Yayoi Takatsuki,Angel,14,145,37,O,右,74,54,78,牡羊座,埼玉県,オセロ、野球,節約、家庭菜園,家族
菊地 真,平田 宏美,515558,8/29,きくち まこと,ひらた ひろみ,Makoto Kikuchi,Princess,17,159,44,O,右,75,57,78,乙女座,静岡県,スポーツ全般,空手、ダンス,ぬいぐるみ
水瀬 伊織,釘宮 理恵,fd99e1,5/5,みなせ いおり,くぎみや えり,Iori Minase,Fairy,15,153,40,AB,右,77,54,79,牡牛座,東京都,海外旅行、食べ歩き,ショッピング,果汁100%オレンジジュース
四条 貴音,原 由実,a6126a,1/21,しじょう たかね,はら ゆみ,Takane Shijou,Fairy,18,169,49,B,右,90,62,92,水瓶座,京都府?,天体観測、歴史,直感,ラーメン
秋月 律子,若林 直美,01a860,6/23,あきづき りつこ,わかばやし なおみ,Ritsuko Akizuki,Fairy,19,156,43,A,右,85,57,85,蟹座 ,東京都,資格取得、ボランティア,分析・実践,ゲーム、小説
三浦 あずさ,たかはし 智秋,9238be,7/19,みうら あずさ,たかはし ちあき,Azusa Miura,Angel,21,168,48,O,右,91,59,86,蟹座 ,千葉県,犬の散歩,占い,カフェ巡り
双海 亜美,下田 麻美,ffe43f,5/22,ふたみ あみ,しもだ あさみ,Ami Futami,Angel,13,158,42,B,右,78,55,77,双子座,東京都,メール、エコ,モノマネ,遊ぶこと
双海 真美,下田 麻美,ffe43f,5/22,ふたみ まみ,しもだ あさみ,Mami Futami,Angel,13,158,42,B,左,78,55,77,双子座,東京都,メール、ぼんさい,モノマネ,遊ぶこと
我那 覇響,沼倉 愛美,01adb9,10/10,がなは ひびき,ぬまくら まなみ,Hibiki Ganaha,Princess,16,152,41,A,右,83,56,80,天秤座,沖縄県,編み物、卓球,家事全般,散歩、動物
春日 未来,山崎 はるか,ea5b76,6/28,かすが みらい,やまさき はるか,Mirai Kasuga,Princess,14,156,42,O,右,78,54,77,蟹座 ,東京都,可愛い髪留めを集めること,歌うこと,ライブ
最上 静香,田所 あずさ,6495cf,9/14,もがみ しずか,たどころ あずさ,Shizuka Mogami,Fairy,14,162,44,A,右,76,53,77,乙女座,埼玉県,テニス,ピアノ,うどん
伊吹 翼,Machico,fed552,7/30,いぶき つばさ,まちこ,Tsubasa Ibuki,Angel,14,158,43,B,左,85,52,82,獅子座,東京都,遊びの計画をたてること,じゃんけん,ビーフステーキ
田中 琴葉,種田 梨沙,92cfbb,10/5,たなか ことは,たねだ りさ,Kotoha Tanaka,Princess,18,157,44,A,右,79,55,78,天秤座,東京都,お風呂,フェンシング,アイス
島原 エレナ,角元 明日香,9bce92,10/26,しまばら えれな,かくもと あすか,Elena Shimabara,Angel,17,160,47,B,右,85,58,86,蠍座,ブラジル,パーティー,サンバを踊ること,みんなで騒ぐこと
佐竹 美奈子,大関 英里,58a6dc,3/22,さたけ みなこ,おおぜき えり,Minako Satake,Princess,18,158,45,O,右,86,54,82,牡羊座,東京都,格闘ゲーム,料理,友達との長電話
所 恵美,藤井 ゆきよ,454341,4/15,ところ めぐみ,ふじい ゆきよ,Megumi Tokoro,Fairy,16,159,47,O,右,88,56,85,牡羊座,埼玉県,カラオケ,人の誕生日を覚えること,友達、ドリンクバー
徳川 まつり,諏訪 彩花,5abfb7,2/4,とくがわ まつり,すわ あやか,Matsuri Tokugawa,Princess,19,163,44,AB,右,85,59,85,水瓶座,愛知県,漫画あつめ,演技,焼きマシュマロ、ウミウシ
箱崎 星梨花,麻倉 もも,ed90ba,2/20,はこざき せりか,あさくら もも,Serika Hakozaki,Angel,13,146,37,O,右,74,54,76,魚座,東京都,バイオリン,アジリティのハンドラー,紅茶、クッキー
野々原 茜,小笠原 早紀,eb613f,12/3,ののはら あかね,おがさわら さき,Akane Nonohara,Angel,16,150,42,AB,左,80,58,79,射手座,埼玉県,スキップ,インラインスケート,プリン
望月 杏奈,夏川 椎菜,7e6ca8,5/31,もちづき あんな,なつかわ しいな,Anna Mochizuki,Angel,14,152,41,AB,右,78,53,79,双子座,神奈川県,オンラインゲーム,タイピング,かわいいもの
伴田 ロコ,中村 温姫,fff03c,3/1,はんだ ろこ,なかむら あつき,Roco Handa,Fairy,15,154,42,AB,右,78,57,77,魚座,東京都,物を作ること,目を閉じたまま歩ける,ハト
七尾 百合子,伊藤 美来,c7b83c,3/18,ななお ゆりこ,いとう みく,Yuriko Nanao,Princess,15,154,41,B,右,78,56,80,魚座,東京都,読書,ペン回し,おはぎ
高山 紗代子,駒形 友梨,7f6575,12/29,たかやま さよこ,こまがた ゆり,Sayoko Takayama,Princess,17,156,42,A,右,82,55,80,山羊座,茨城県,ハリネズミの飼育、日記,一晩寝ると元気になれる,友達、アイドル仲間、たい焼き
松田 亜利沙,村川 梨衣,b54461,6/7,まつだ ありさ,むらかわ りえ,Arisa Matsuda,Princess,16,154,40,AB,右,81,54,80,双子座,東京都,アイドルのデータ集め、カメラ,アイドルの変装を見破れる,ファミレスのデザート
高坂 海美,上田 麗奈,e9739b,8/10,こうさか うみ,うえだ れいな,Umi Kosaka,Princess,16,155,45,O,右,82,57,84,獅子座,千葉県,ボルダリング,バレエ,女子力！
中谷 育,原嶋 あかり,f7e78e,12/16,なかたに いく,はらしま あかり,Iku Nakatani,Princess,10,142,37,B,右,72,52,73,射手座,東京都,アニメ鑑賞,早起き,おかあさん
天空橋 朋花,小岩井 ことり,bee3e3,11/11,てんくうばし ともか,こいわい ことり,Tomoka Tenkubashi,Fairy,15,156,41,AB,左,80,56,79,蠍座,東京都,ファンに喜んでもらうこと,口げんか、礼儀作法,かわいい扇子
エミリー スチュワート,郁原 ゆう,554171,1/8,えみりー すちゅわーと,かはら ゆう,Emily Stewart,Princess,13,156,41,A,右,74,54,76,山羊座,イギリス,かるた遊び,日本舞踊,抹茶
北沢 志保,雨宮 天,afa690,1/18,きたざわ しほ,あまみや そら,Shiho Kitazawa,Fairy,14,161,46,A,右,83,56,84,山羊座,東京都,お気に入りの絵本を探すこと,記憶力、集中力が高い,ぬいぐるみ
舞浜 歩,戸田 めぐみ,e25a9b,7/23,まいはま あゆむ,とだ めぐみ,Ayumu Maihama,Fairy,19,158,49.9,A,右,86,60,88,獅子座,愛媛県,ショッピング,ダンス,わさび
木下 ひなた,田村 奈央,d1342c,7/4,きのした ひなた,たむら なお,Hinata Kinoshita,Angel,14,146,39.5,O,右,74,55,78,蟹座 ,北海道,ガーデニング,天気を当てること,おばあちゃん
矢吹 可奈,木戸 衣吹,f5ad3b,8/18,やぶき かな,きど いぶき,Kana Yabuki,Princess,14,155,43,A,右,77,54,76,獅子座,神奈川県,なんでも歌にすること,合唱,屋上で歌うこと
横山 奈緒,渡部 優衣,788bc5,2/12,よこやま なお,わたなべ ゆい,Nao Yokoyama,Princess,17,159,46,O,右,84,57,83,水瓶座,大阪府,銭湯＆温泉巡り,スタミナがある,友達とおしゃべり
二階堂 千鶴,野村 香菜子,f19557,10/21,にかいどう ちづる,のむら かなこ,Chizuru Nikaidou,Fairy,21,165,50,B,右,85,58,86,天秤座,東京都,カフェでアパレル誌チェック,人の名前と顔を忘れない,憧れの目で見られること
馬場 このみ,高橋 未奈美,f1becb,6/12,ばば このみ,たかはし みなみ,Konomi Baba,Angel,24,143,37,A,右,75,55,79,双子座,山口県,北米ドラマ鑑賞,麻雀,日本酒
大神 環,稲川 英里,ee762e,4/29,おおがみ たまき,いながわ えり,Tamaki Ogami,Angel,12,147,39,B,右,76,51,77,牡牛座,香川県,探検,石切り,アスレチックランド
豊川 風花,末柄 里恵,7278a8,9/2,とよかわ ふうか,すえがら りえ,Fuka Toyokawa,Angel,22,162,51,O,右,93,63,91,乙女座,千葉県,献血,息を止めること、注射,猫
宮尾 美也,桐谷 蝶々,d7a96b,4/24,みやお みや,きりたに ちょうちょ,Miya Miyao,Angel,17,156,46,O,右,84,58,83,牡牛座,東京都,囲碁、将棋,視力が高い,サンドイッチ
福田 のり子,浜崎 奈々,eceb70,3/30,ふくだ のりこ,はまさき なな,Noriko Fukuda,Princess,18,164,48,A,右,87,58,87,牡羊座,東京都,格闘技観戦,バイクの運転,焼肉
